马 唖
可 娃
早 阿
点 哀
把 愛
它 挨
带 姶
到 逢
阿 葵
利 茜
斯 穐
特 悪
尔 握
不 渥
要 旭
像 葦
那 芦
个 鯵
样 梓
看 圧
衣 斡
服 扱
每 宛
一 姐
天 虻
是 飴
你 絢
吗 綾
旅 鮎
行 或
者 粟
应 袷
该 安
从 庵
这 按
里 暗
出 案
去 闇
以 鞍
相 杏
信 以
我 伊
见 位
过 依
多 偉
么 囲
怕 夷
的 委
事 威
情 尉
在 惟
国 意
家 慰
， 易
对 椅
知 為
道 畏
他 異
们 移
怎 維
做 緯
但 胃
听 萎
说 衣
有 謂
人 違
喜 遺
欢 医
皇 井
宫 亥
好 域
吧 育
希 郁
望 磯
什 一
也 壱
许 溢
些 逸
比 稲
格 茨
维 芋
即 鰯
将 允
流 印
血 咽
会 員
参 因
加 姻
大 引
件 飲
很 淫
想 胤
改 蔭
变 院
反 陰
搬 隠
为 韻
了 吋
泰 右
座 宇
城 烏
市 羽
当 迂
诺 雨
亚 卯
死 鵜
失 窺
所 丑
成 碓
生 臼
活 渦
新 嘘
最 唄
受 欝
迎 蔚
真 鰻
填 姥
满 厩
先 浦
鞋 瓜
子 閏
就 噂
而 云
言 運
担 雲
心 荏
已 餌
经 叡
武 営
装 嬰
起 影
来 映
必 曳
须 栄
浪 永
如 泳
果 洩
聪 瑛
明 盈
保 穎
护 頴
毫 英
犹 衛
豫 詠
地 鋭
拒 液
绝 疫
给 益
时 駅
候 悦
简 謁
单 越
理 閲
由 榎
非 厭
常 円
紧 園
张 堰
现 奄
公 宴
共 延
命 怨
令 掩
持 援
低 沿
调 演
假 炎
设 焔
女 煙
只 燕
队 猿
伍 縁
并 艶
且 苑
着 薗
急 遠
否 鉛
面 鴛
手 塩
术 於
中 汚
间 甥
动 凹
东 央
西 奥
走 往
哈 応
姆 押
哪 旺
之 横
前 欧
谣 殴
孩 王
叫 翁
狮 襖
被 鴬
杀 鴎
哇 黄
举 岡
米 沖
塔 荻
肯 億
身 屋
份 憶
案 臆
例 桶
别 牡
与 乙
处 俺
融 卸
洽 恩
恢 温
复 穏
开 音
始 下
安 化
全 仮
宝 何
上 伽
向 価
兰 佳
致 加
敬 可
玩 嘉
逮 夏
捕 嫁
无 家
论 寡
忘 科
记 暇
尼 果
抵 架
抗 歌
员 河
发 火
正 珂
直 禍
奔 禾
布 稼
认 箇
支 花
治 苛
下 茄
曾 荷
规 華
则 菓
她 蝦
又 課
剑 嘩
客 貨
谁 迦
和 過
夫 霞
埃 蚊
鲁 俄
卡 峨
羡 我
慕 牙
力 画
量 臥
坚 芽
强 蛾
悠 賀
固 雅
定 餓
作 駕
惩 介
罚 会
话 解
士 回
兵 塊
分 壊
完 廻
永 快
远 怪
结 悔
束 恢
能 懐
花 戒
剩 拐
都 改
画 魁
门 晦
整 械
自 海
暴 灰
介 界
绍 皆
左 絵
太 芥
残 蟹
忍 開
实 階
工 貝
谈 凱
乎 劾
报 外
负 咳
告 害
诉 崖
任 慨
何 概
金 涯
拜 碍
托 蓋
仇 街
嗯 該
愿 鎧
意 骸
等 浬
待 馨
际 蛙
名 垣
拉 柿
战 蛎
斗 鈎
迪 劃
拿 嚇
藏 各
种 廓
典 拡
型 撹
模 格
式 核
唯 殻
离 獲
器 確
找 穫
收 覚
回 角
确 赫
机 較
哎 郭
呀 閣
没 隔
剃 革
头 学
几 岳
儿 楽
塞 額
万 顎
追 掛
秘 笠
密 樫
区 橿
议 梶
靠 鰍
切 潟
然 割
后 喝
第 恰
二 括
法 活
